,Code,Company,SecurityID,MarketCapFull,MarketCapFreeFloat,Industry
217,500460,MUKAND LTD.,MUKANDLTD,"2,743.25 Cr.",685.81 Cr.,Metals & Mining
218,500463,Black Box Ltd,BBOX,"4,250.21 Cr.","1,147.56 Cr.",Information Technology
219,500464,Ucal  Ltd,UCAL,407.78 Cr.,118.25 Cr.,Automobile and Auto Components
220,500467,HARRISONS MALAYALAM LTD.,HARRMALAYA,315.96 Cr.,135.86 Cr.,Capital Goods
221,500469,FEDERAL BANK LTD.,FEDERALBNK,"38,218.76 Cr.","35,161.25 Cr.",Financial Services
222,500470,TATA STEEL LTD.,TATASTEEL,"2,07,037.90 Cr.","1,36,645.01 Cr.",Metals & Mining
223,500472,SKF India Ltd,SKFINDIA,"22,761.24 Cr.","10,697.78 Cr.",Capital Goods
224,500477,ASHOK LEYLAND LTD.,ASHOKLEY,"54,351.42 Cr.","26,632.19 Cr.",Capital Goods
225,500480,CUMMINS INDIA LTD.,CUMMINSIND,"89,797.55 Cr.","44,000.80 Cr.",Capital Goods
226,500483,TATA COMMUNICATIONS LTD.,TATACOMM,"50,085.90 Cr.","20,535.22 Cr.",Telecommunication
227,500488,ABBOTT INDIA LTD.,ABBOTINDIA,"54,961.00 Cr.","13,740.25 Cr.",Healthcare
228,500490,BAJAJ HOLDINGS & INVESTMENT LTD.,BAJAJHLDNG,"90,704.21 Cr.","29,932.39 Cr.",Financial Services
229,500493,BHARAT FORGE LTD.,BHARATFORG,"60,999.25 Cr.","33,549.59 Cr.",Automobile and Auto Components
230,500495,Escorts Kubota Ltd,ESCORTS,"36,378.79 Cr.","10,913.64 Cr.",Capital Goods
231,500500,HINDUSTAN MOTORS LTD.,HINDMOTORS,598.85 Cr.,407.22 Cr.,Automobile and Auto Components
232,500510,LARSEN & TOUBRO LTD.,LT,"4,95,196.88 Cr.","4,20,917.35 Cr.",Construction
233,500520,MAHINDRA & MAHINDRA LTD.,M&M,"2,54,208.38 Cr.","1,80,487.95 Cr.",Automobile and Auto Components
234,500530,BOSCH LTD.,BOSCHLTD,"85,153.60 Cr.","24,694.54 Cr.",Automobile and Auto Components
235,500540,PREMIER LTD.,PREMIER,12.76 Cr.,8.80 Cr.,Capital Goods
236,500547,BHARAT PETROLEUM CORPORATION LTD.,BPCL,"1,32,194.26 Cr.","58,165.48 Cr.","Oil, Gas & Consumable Fuels"
